Model,Accuracy,F1-Score,ROC-AUC,Training Time (min),Model Size (MB)
DistilBERT,0.9147,0.9147,0.9664,3.3,1790.9
RoBERTa,0.9453,0.9452,0.9828,8.3,3342.7
